.; A,ANY
1rip.com; ANY,A,RRSIG
1x1.cz; TXT,ANY
2soe.ru; A
edelion.su; ANY,A
hizbullah.me; ANY,A
anaheim.cz; ANY
anonsc.com; ANY
bfhmm.com; AAAA,TXT
biz; ANY
cockblock.pw; ANY
d.directedat.asia; ANY,A
dd0s.asia; ANY,A
ddos.cat; ANY
directedat.asia; ANY
disposableemailcheck.com; A
doc.gov; ANY
dongs.directedat.asia; ANY
f.directedat.asia; A,ANY
fca.gov; ANY,DNSKEY,DS,RRSIG
formality.directedat.asia; ANY
fr; ANY
hackwhatlol.cc; ANY,A
hak4umz.net; ANY,A
hizbullah.me; ANY,A
ietf.org; ANY,DS
isc.org; ANY
lineage2-game.ru; ANY,A
lounge.pw; ANY
mydnsscan.us; ANY,A
nukes.directedat.asia; ANY,A
org; DNSKEY
packetdevil.com; ANY
ripe.net; ANY
scandns.tk; ANY
sema.cz; ANY
seznam.cz; ANY
stellolstel.cc; A
t4.deparel.com; TXT
theswat.net; ANY,A
txt.pwserver.com.ua; TXT
xcqv.de; ANY,A
srvit.org; ANY
evgeniy-marchenko.cc; A
qha.cc; ANY,A
la2low.cc; A
zzgst.com; TXT
aa.asd3sc.com; A
bitstress.com; A
aa.mmtac1.com; A
kiddy3233655.ru; A
d6991.com; A
aa3247.com; A
fkfkfkfa.com; A
grappyblog.com; A
a.packetdevil.com; A
cmiui.com; TXT
4fwhk.com; ANY
sandia.gov; ANY
zaikapaika.com; A
verisign.com; ANY
pkts.asia; ANY,A
irlwinning.com; A
379zc.com; A
30259.info; A
supermegatrue.mcdr.ru; A
txt409.tekjeton.com; TXT
36088.info; A
babywow.co.uk; A
aa.10781.inf; A
36372.info; A
pipcvsemnaher.com; A
azmx.ru; ANY
krasti.us; ANY
txt.fwserver.com.ua; A
gtml2.com; A
43614.info; A
53193.info; A
67252.info; A
reanimator.in; A
t.pbub.info; ANY
loo1.ru; A
siska1.com; A
hccforums.nl; A
cheatsharez.com; A
lrc-pipec.com; A
x.mpnp.info; TXT
thebestdomainintheworld.cloudns.eu; A
x.slnm.info; TXT
ym.rctrhash.com; TXT
x.privetrc.com; TXT
eschenemnogo.com; A
bitchgotraped.cloudns.eu; A
stopdrugs77.com; A
notthebestdomainintheworld.cloudns.org; A
darkyu.org; Rsize
marusiaattack.pw; A
nf3.pw; A
dnsamplificationattacks.cc; A
ilineage2.ru; A
adrenalinessss.cc; A
datburger.cloudns.org; A
erhj.pw; A
grungyman.cloudns.org; A
ghmn.ru; A
grungyman.cloudns.org; Rsize
amp.crack-zone.ru; TXT
saveroads.ru; A
iri.so; A
